Equipment Category,Manufacturer Name,Model Name,Dimensions,column4
RRU/RRH,TBD,TBD,518mm x 170mm x 156mm,
Dish,Huawei,A15S06HAC,0.6m,
Dish,Huawei,A07F18HAC,1.8m,
Dish,TBD,TBD,0.3m,
Dish,Ericsson,Minilink,0.60m [D.O. 1.20m],
Dish,Huawei,N/D,0.3m,
Dish,Ericsson,Minilink,0.6m,
Dish,HUAWEI,A15D12HAC,1.2m,
Dish,HUAWEI,A15S09HAC,0.90m [D.O. 1.20m],
Dish,Huawei,A07F18HAC,1.8,
Dish,Huawei,A15D12HAC,1.2,
Dish,Ericsson,UKY21040/SC15,1.2 m,
Dish,Commscope,VHLP2,0.6 m,
RRU/RRH,Ericsson,221940,365 x 292 x 571mm,
Antenna,Huawei,ADU4516R6v06,1999 x 429 x 196 mm,
Antenna,Commscope,HBX-6516DS-VTM,1306 x 168 x 84mm,
Antenna,,,2133 x 356 x 178mm,
Antenna,Rymsa,MGD3-800-TV,1340 x 160 x 90 mm,
Dish,CommScope,VHLP2-15-HW1A,0.6m,
Dish,Ericsson,9400 UX,0.6,
Dish,Ericsson,9400 UX,0.3,
RRU/RRH,Ericsson,3702,480 x 379 x 150 mm,
Antenna,Huawei,ADU4518R1V06,1360x260x80,
Dish,Ericsson,SLC1815DH3X,1.8,
Antenna,ND,ND,1300 x 150 x 70 mm,
Antenna,PD,PD,2133 x 356 x 178 mm,
Antenna,Moyano,MY-DBS-196518,1300 x 150 x 70 mm,
Antenna,ND,ND,1300 x 120 x 90 mm,
Dish,Alcatel,9400 UX,0.6m,
Dish,Huawei,A15S06HAC,1.2m,
Dish,ND,ND,1.8m,
Dish,Huawei,A15S06HAC,0.9m,
RRU/RRH,5909,RRU,400x300x100mm,
RRU/RRH,TBD,TBD,480x270x140mm,
RRU/RRH,Huawei,5904 W,400x300x150,
RRU/RRH,TBD,TBD,636mm x 383mm x 169mm,
Antenna,PD,PD,1315mm x 265mm x 90 mm,
Antenna,HUAWEI,AAU5339W,1080mm x 670mm x 220mm,
Dish,Alcatel,,1.20 m,
Dish,Alcatel,Alcatel,1.2,
RRU/RRH,Huawei,3952,400 x 300 x 120 mm,
RRU/RRH,Huawei,3804,485 x 285 x 170 mm,
